Usuario,Caso,Marcador,Tarjeta,Fecha y hora de transacci—n,Monto,Comercio,Modo de Entrada,Ind Com Elec
999agsa,162250813,NF,1234567890112140,01/11/21 10:15 AM,1,PAGO MI TELMEX,E,6
999agsa,162251149,NF,1234567890112141,01/11/21 10:24 AM,20,AMAZON MX,E,7
999agsa,162251321,CNF,1234567890112142,01/11/21 10:29 AM,119,PAYPAL3,K,
999agsa,162251193,NF,1234567890112155,01/11/21 10:25 AM,289,CFE CONTIGO MU,K,0
999agsa,162251383,NF,1234567890112158,01/11/21 06:52 AM,450.21,ESGES SUBTENIENTELOPEZ,V,0
999agsa,162251383,NF,1234567890112134,01/11/21 10:30 AM,725.73,TRIDEV ENTERPRISE LTD.,V,
999agsa,162251457,NF,1234567890112130,01/11/21 10:33 AM,1000,PAYPAL3,K,
999agsa,162251605,NF,1234567890112135,01/11/21 07:42 AM,144.33,OP*OPENPAY,K,
999agsa,162251605,NF,1234567890112136,01/11/21 10:33 AM,5408.14,PAYPAL6,K,
999agsa,162251605,NF,1234567890112137,01/11/21 10:33 AM,5408.14,PAYPAL *CHECKROCKET,K,
999agsa,162251605,NF,1234567890112138,01/11/21 10:38 AM,5408.14,PAYPAL *CHECKROCKET,K,
999agsa,162251681,NF,1234567890112139,01/11/21 10:39 AM,798,PAGO MI TELMEX,E,6
999agsa,162251681,NF,1234567890112140,01/11/21 10:40 AM,399,PAGO MI TELMEX,E,6
999agsa,162251681,NF,1234567890112141,01/11/21 10:41 AM,399,PAGO MI TELMEX,E,6
999agsa,162251767,NF,1234567890112142,01/11/21 10:42 AM,20,AME*MICROSOFT I,E,7
999agsa,162251599,NF,1234567890112155,01/11/21 10:37 AM,1229,MERCADO PAGO 1,E,7
999agsa,162251779,NF,1234567890112158,01/11/21 10:42 AM,20,GOOGLE *TEMPORARY HOLD,E,7
999agsa,162251779,NF,1234567890112134,01/11/21 10:43 AM,8357.54,GOOGLE *GSUITE_zebradi,E,7
999agsa,162251881,NF,1234567890112130,01/11/21 10:12 AM,2633.34,SUPERMETRICS.COM,,2
999agsa,162251881,NF,1234567890112135,01/11/21 10:45 AM,20,GOOGLE *TEMPORARY HOLD,E,7
999agsa,162251881,NF,1234567890112136,01/11/21 10:45 AM,8319.48,GOOGLE *GSUITE_strange,E,7
999agsa,162252083,NF,1234567890112137,01/11/21 10:51 AM,3042,GOOGLE*GSUITE BOUS.MX,E,7
999agsa,162252177,NF,1234567890112138,01/11/21 10:54 AM,2574,GOOGLE*GSUITE VITELIER,E,7
999agsa,162250871,NF,1234567890112134,01/11/21 10:16 AM,4872.33,PAYPAL *XIHONGDIANX,E,7
999agsa,162251895,NF,1234567890112130,01/11/21 10:45 AM,1536.99,D LOCAL *GODADDY,K,
999agsa,162251943,NF,1234567890112135,01/11/21 10:46 AM,1026,CFE SUM SERV BAS MU,E,6
999agsa,162251961,NF,1234567890112136,01/11/21 10:47 AM,807.38,AMAZON MX MARKETPLACE,E,7
999agsa,162252419,NF,1234567890112137,01/11/21 11:00 AM,1177,AMAZON MX MARKETPLACE,E,7
999agsa,162251975,NF,1234567890112138,01/11/21 10:47 AM,4000,PAYPAL6,K,
999agsa,162252113,NF,1234567890112134,01/11/21 10:52 AM,20,AME*MICROSOFT I,E,7
999agsa,162252175,NF,1234567890112130,01/11/21 10:54 AM,168.58,ONECARD DINING ON EF C,V,
999agsa,162252185,NF,1234567890112135,01/11/21 10:54 AM,1865.64,ST*CORNERSHOP,K,0
